TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.092879819,-635.178,2.83574,10.0046,1.48139,5.29541,-0.117559,-3.14502,-3.41238,-1.6653,0.142023,4.03031,2.76786,4.59713,-1.80438,-5.00015,0.934629,-1.31298,-6.03867,1.39217,0.368464,-1.9516
0.116099773,-426.436,36.2754,18.3467,2.58338,-3.37328,-3.33059,-8.71347,-5.19568,-8.11984,2.57545,0.809863,-0.675031,-0.699576,-3.25896,-0.677428,-1.68713,-1.06455,-1.35225,3.55457,1.14054,-1.79481
0.139319728,-387.283,50.3011,27.1882,7.41916,2.18363,-0.748443,-2.44468,2.52504,-4.89525,-0.390174,-0.240453,-0.480904,-0.214161,-2.9885,-0.528236,-2.76859,-2.51892,-4.29871,-0.480355,-3.92959,-2.74316
0.162539683,-374.731,46.0751,24.3207,13.033,-0.299002,-2.71601,-0.766862,-1.75396,-1.04666,1.38816,-2.04133,2.16305,-0.9039,-5.18755,1.00111,-4.04263,0.693788,-3.82176,-3.71315,-2.01122,-2.9774
0.185759637,-335.112,55.1155,18.3324,6.88029,-5.98617,-0.22332,-4.42504,-3.71282,-2.46601,-3.28577,-2.97246,0.14729,-3.55338,-3.82733,-0.84731,-6.68537,1.02018,-2.40932,0.050594,-1.72818,-3.54572
0.208979592,-329.334,52.1385,14.5722,10.9639,-5.95282,-1.0069,-5.76878,-4.3721,-2.12328,-3.26758,-1.54384,-0.0317725,-6.49077,-1.71456,-2.02172,-7.5756,2.20474,-5.06972,-0.103584,-1.1236,-3.01033
0.232199546,-325.322,61.0938,18.5748,2.33698,-9.54621,-4.01899,-7.96359,-3.82126,-4.50173,-2.26942,-2.93419,-1.47059,-3.40477,-6.09048,-2.2578,-6.03425,1.78334,-2.53845,-0.384923,-0.542055,-1.62033
0.255419501,-264.472,60.7974,13.9112,15.8848,-2.0054,4.66517,-3.38621,0.412169,-1.83719,1.14479,-2.28957,1.53182,0.840016,-1.89903,1.0396,-4.7112,1.32111,-0.507342,1.865,-2.51216,2.62291
0.278639456,-261.114,50.4413,7.99534,25.2114,-1.55295,4.67536,-8.54726,-0.262018,-4.59504,3.34755,2.45215,0.787031,0.126319,-3.41692,1.1413,-4.58773,1.21628,-0.221782,1.93978,0.0744959,1.51589
0.301859410,-263.257,48.4622,10.4554,23.3153,-1.56619,2.72994,-6.90067,-1.23656,-3.60238,4.42837,0.986777,-0.569206,0.790108,-4.22528,3.88124,-1.16765,-0.583266,2.80589,1.2639,2.7551,-1.99877
0.325079365,-273.586,50.4229,10.1656,25.3258,-3.15971,6.2888,-7.58664,-1.09035,-0.794751,0.311616,1.0851,-3.98979,0.102442,-2.93287,1.37997,-1.98714,-1.42886,-0.0566827,2.67566,-0.489646,1.34459
0.348299320,-275.581,50.272,16.3864,26.5935,-3.13048,6.86092,-7.87722,1.80526,-0.244918,0.61554,-1.41481,-4.29831,1.56761,-0.695865,1.96263,-3.37381,-1.13794,-0.939537,3.0825,-1.72791,-0.425939
0.371519274,-284.273,49.4498,18.2904,23.1277,-5.53126,3.07637,-9.87,2.27325,-2.30776,-0.550486,-2.57006,-6.77708,1.86258,-0.419441,0.738252,-5.3581,-2.28428,-1.54747,3.11529,-2.23526,-0.306995
0.394739229,-285.788,52.0019,17.7096,22.8663,-3.22485,4.54634,-9.09024,1.47228,1.16943,3.67652,-3.91248,-4.37056,2.70358,-0.955774,1.79111,-2.07435,-1.48401,-5.03815,5.29362,-0.187255,-1.30468
0.417959184,-285.612,51.0816,15.8917,22.7516,-5.31503,1.81794,-7.59049,-0.824219,-1.25668,2.43382,-2.10393,-1.77291,2.42863,-0.375193,3.41791,-2.87722,-1.29257,-4.38322,5.80556,-0.35751,-1.16987
0.441179138,-290.318,53.8946,18.0185,18.098,-1.32997,1.67429,-6.95852,4.57724,-5.37602,5.87184,0.201698,-3.39551,8.34052,-2.33517,3.23317,-0.734735,-2.25825,-3.11342,3.37486,0.319591,2.33775
0.464399093,-290.206,49.5987,17.5668,18.3584,-6.5607,6.31982,-10.5737,2.40452,-2.15619,0.750587,-1.08056,-2.47082,5.94216,-0.191681,3.10856,-3.03495,-1.01804,-1.80333,3.86773,-1.46953,1.29196
0.487619048,-290.306,48.8261,18.1621,21.1379,-5.56315,5.28922,-5.49586,3.03577,-1.47514,1.81882,-3.41027,-1.69354,4.44166,2.15083,2.76529,-4.47185,-0.405833,-2.31939,1.61226,-0.881074,0.528364
0.510839002,-293.331,46.8054,17.1977,24.8553,-6.20167,3.18938,-4.14689,2.52023,0.125076,2.42896,0.418313,-2.54253,2.09583,-0.843605,1.76307,-2.72714,-2.10269,-4.84974,3.34784,-1.04971,0.381462
0.534058957,-296.406,49.309,20.1544,24.0412,-5.10071,-0.965249,-5.4673,1.99493,-1.71346,4.35823,-2.71036,-1.16793,2.36887,-2.22414,1.44705,-1.85286,-0.62396,-4.31167,1.55811,-1.07454,2.29298
0.557278912,-294.975,49.32,19.5356,24.3647,-7.25571,3.11035,-2.92831,1.94903,0.964115,2.79977,0.0197977,1.66982,2.83159,-3.89074,1.31952,-2.14068,-0.0767882,-4.02632,1.99958,-2.46101,0.395145
0.580498866,-293.709,46.34,21.1526,23.6311,-2.87579,2.21219,-5.99214,6.61889,-1.51165,3.16058,-0.250738,-0.145,4.49978,-0.424761,1.01641,-5.48854,0.352605,-1.17191,1.40936,-2.52809,0.959424
0.603718821,-294.48,46.2889,19.49,24.0028,-5.65315,6.41293,-6.26002,5.47551,0.210337,3.42986,-2.57406,1.00265,4.81766,-0.51435,0.647786,-2.43888,-2.117,0.879983,2.11593,-3.2625,-0.298965
0.626938776,-298.434,43.7015,16.3724,26.0796,-5.95712,3.42856,-3.13975,5.26741,-3.11628,2.7893,1.70841,-1.06807,4.29599,-0.733965,-0.00607313,-3.28729,-1.37449,-0.818857,1.35085,-1.27992,0.440899
0.650158730,-287.153,45.6772,10.5966,22.7548,-4.96361,3.38612,-1.80901,5.10163,-1.75335,3.63247,0.636911,4.36117,1.64672,-3.25891,-1.032,-6.95304,1.94022,-4.66587,2.12205,-0.684451,-0.75816
0.673378685,-256.789,50.0516,1.10359,15.5504,-10.0048,5.27694,-0.266467,5.92893,-0.143493,2.31366,-0.33486,1.16849,3.23766,-0.826855,1.22816,-4.0352,0.607719,-2.99887,0.00776172,-0.733379,0.859242
